"","MA.id","CDSR.id","outcome","modelname","col.group","num_studies","est","se","low","up","width","tau","elpd_waic","p_waic","waic","se_elpd_waic","se_p_waic","se_waic"
"7875",657,"CD012687","MD","htebayesian","Bayesian",5,0.14160825880124,1.126954323364,-2.0259733017184,2.32028828317722,4.34626158489562,0.831475083092753,-2.43007971798506,7.03280679867714,4.86015943597012,0.196913485970408,0.273115321191333,0.393826971940816
"7876",657,"CD012687","MD","ctebayesian","Bayesian",5,0.15992481529289,0.834795916287914,-1.4611467300032,1.80663421459292,3.26778094459611,NA,NA,NA,NA,NA,NA,NA
"7877",657,"CD012687","Cohen's d","ivfe","Frequentist",5,0.0998259784409745,0.0980490216604747,-0.0923465727329435,0.291998529614893,0.384345102347836,NA,NA,NA,NA,NA,NA,NA
"7878",657,"CD012687","Cohen's d","ivre","Frequentist",5,0.307939437397034,0.242418644614557,-0.167192375228513,0.783071250022581,0.950263625251095,0.47292824092915,NA,NA,NA,NA,NA,NA
"7879",657,"CD012687","Cohen's d","htebayesian","Bayesian",5,0.528352087931183,1.23538520515845,-1.87722504663759,2.86949917001088,4.74672421664847,0.958510901787034,-1.37864872072492,8.73046277359269,2.75729744144983,0.680427210540649,0.741046029278877,1.3608544210813
"7880",657,"CD012687","Cohen's d","ctebayesian","Bayesian",5,0.575695968418502,0.86744710685683,-1.12431175717166,2.26562082787161,3.38993258504326,NA,NA,NA,NA,NA,NA,NA
"7881",657,"CD012687","Hedge's g","ivfe","Frequentist",5,0.363745752971448,0.458526796840896,-0.534950254783222,1.26244176072612,1.79739201550934,NA,NA,NA,NA,NA,NA,NA
"7882",657,"CD012687","Hedge's g","ivre","Frequentist",5,0.363745752971448,0.458526796840896,-0.534950254783222,1.26244176072612,1.79739201550934,0,NA,NA,NA,NA,NA,NA
"7883",657,"CD012687","Hedge's g","htebayesian","Bayesian",5,0.373882960245172,0.63296772167235,-0.834763642482143,1.59768510358103,2.43244874606318,0.498990270681386,0.790341504305138,2.18449953022256,-1.58068300861028,0.404597143296529,0.0290918480830507,0.809194286593058
"7884",657,"CD012687","Hedge's g","ctebayesian","Bayesian",5,0.388921731717779,0.44223424401109,-0.484625480098165,1.25450367556913,1.7391291556673,NA,NA,NA,NA,NA,NA,NA
"7885",658,"CD012780","MD","ivfe","Frequentist",10,-0.0893027803976094,0.40233227459681,-0.877859548425436,0.699253987630217,1.57711353605565,NA,NA,NA,NA,NA,NA,NA
"7886",658,"CD012780","MD","ivre","Frequentist",10,0.263476895766395,0.0564492218572438,0.152838453970886,0.374115337561905,0.221276883591018,0.0326888949486867,NA,NA,NA,NA,NA,NA
"7887",658,"CD012780","MD","htebayesian","Bayesian",10,0.253347340906881,0.256281572764543,-0.251393463626655,0.750468427095024,1.00186189072168,0.196900713516534,1.91523567834121,1.1677660210711,-3.83047135668241,0.100167762898523,0.0440221476002231,0.200335525797046
"7888",658,"CD012780","MD","ctebayesian","Bayesian",10,0.240959805093411,0.231678719601897,-0.214092719560867,0.692972409330138,0.907065128891005,NA,NA,NA,NA,NA,NA,NA
"7889",658,"CD012780","Cohen's d","ivfe","Frequentist",10,0.00489878602338861,0.0547002556554468,-0.10231174500642,0.112109317053198,0.214421062059618,NA,NA,NA,NA,NA,NA,NA
"7890",658,"CD012780","Cohen's d","ivre","Frequentist",10,0.00489878602338861,0.0547002556554468,-0.10231174500642,0.112109317053198,0.214421062059618,0,NA,NA,NA,NA,NA,NA
"7891",658,"CD012780","Cohen's d","htebayesian","Bayesian",10,-0.105864838506509,0.730062494955399,-1.47874642920708,1.33133051453125,2.81007694373833,0.566809043992386,-5.02373849706882,9.47810576409202,10.0474769941376,0.0877430626718388,0.322929860932198,0.175486125343678
