"","MA.id","CDSR.id","est","se","low","up","width","tau","elpd_waic","p_waic","waic","se_elpd_waic","se_p_waic","se_waic","modelname","col.group","outcome","num_studies"
"466",466,"CD008823",-1.39127405690996,0.681434746019871,-2.72992974381129,-0.0495607656525634,2.68036897815873,3.06469014859656,-38.5812404223492,13.2322631208496,77.1624808446983,13.6442351720595,1.63271355279655,27.288470344119,"htebayesian.tau100","bayesian","MD",23
"467",467,"CD008823",-6.41007632775069,3.6553770557941,-13.4265512950003,0.993252419807164,14.4198037148075,7.11509998425408,-39.4292672309627,1.41546493588162,78.8585344619253,14.1952920001285,0.28531056111734,28.3905840002569,"htebayesian.tau100","bayesian","MD",6
"468",468,"CD003316",0.612457461893388,0.64108666306645,-0.653265734729504,1.85604312113004,2.50930885585954,0.501007226075092,2.53556202924509,6.45168426450328,-5.07112405849018,0.373265291414155,0.208325224032647,0.74653058282831,"htebayesian.tau100","bayesian","MD",9
"469",469,"CD008823",-4.93714611010335,1.31679637993372,-7.52549235624867,-2.32613758157089,5.19935477467777,5.93867890057559,-111.527702774505,5.67634822368436,223.055405549011,26.7053631494705,0.365611347111472,53.410726298941,"htebayesian.tau100","bayesian","MD",22
"470",470,"CD003316",0.181900286731895,0.650370128122183,-1.08504006777036,1.50790173241101,2.59294180018136,0.490356583279788,-1.09047180497864,6.5307267298645,2.18094360995728,0.201618685777682,0.241453382673074,0.403237371555364,"htebayesian.tau100","bayesian","MD",9
"471",471,"CD008823",-2.96278430290212,1.40659623305442,-5.66184813437786,-0.200360846938169,5.46148728743969,2.50120328001062,-18.7462809222566,1.93196229828332,37.4925618445132,4.78151102854827,0.237250523209513,9.56302205709655,"htebayesian.tau100","bayesian","MD",6
"472",472,"CD003316",10.5010533587502,2.49535762774557,5.57010024460808,15.4304928162361,9.860392571628,10.7520691554828,200.711060019671,18.7159837586844,-401.422120039342,48.1898879333661,15.7663998965455,96.3797758667322,"htebayesian.tau100","bayesian","MD",20
"473",473,"CD008823",-2.63750288058586,0.793569832353494,-4.20949274626361,-1.07125485860526,3.13823788765835,3.36256946510971,-56.5743866490837,7.65858230960023,113.148773298167,14.1293498338095,0.482010744792794,28.2586996676191,"htebayesian.tau100","bayesian","MD",20
"474",474,"CD003316",2.56025380990848,2.17085789000965,-1.82018850053642,6.86881516395464,8.68900366449106,4.71432336239504,16.7697891076487,2.29744870841677,-33.5395782152974,10.5154311533322,0.427179321876282,21.0308623066645,"htebayesian.tau100","bayesian","MD",7
"475",475,"CD003316",4.58386398390895,1.73600324065659,1.13551303697729,8.01807542206243,6.88256238508514,5.84859748423574,58.2588719750971,2.6792592363027,-116.517743950194,19.5570236536633,0.339739034882515,39.1140473073267,"htebayesian.tau100","bayesian","MD",13
"476",476,"CD008823",-5.13045802351154,0.929169145121647,-6.98613528633579,-3.31063960348441,3.67549568285139,5.80904089930179,-217.242642012724,13.112269168047,434.485284025449,36.175517681157,1.13083456579156,72.351035362314,"htebayesian.tau100","bayesian","MD",41
"477",477,"CD000375",0.270519660994138,1.67064550584304,-2.9119171215673,3.34379066825123,6.25570778981854,1.19944339311133,-4.2363199751864,14.1509843956015,8.47263995037281,0.294825072992654,0.526464449698558,0.589650145985308,"htebayesian.tau100","bayesian","MD",5
"478",478,"CD003316",2.2052456630634,4.39986006411885,-6.61587257694836,11.1069097547421,17.7227823316905,7.41338603252067,10.3715966474084,1.55929440435517,-20.7431932948168,12.8597427189165,0.320594317364046,25.719485437833,"htebayesian.tau100","bayesian","MD",5
"479",479,"CD008823",-2.68035144272354,0.544150797777369,-3.75733126132975,-1.60079186461508,2.15653939671467,3.34760254864626,-120.190383662477,20.0811619282898,240.380767324953,20.2857728945311,1.85581694047743,40.5715457890622,"htebayesian.tau100","bayesian","MD",41
"480",480,"CD003316",5.66374689623966,2.18372216164025,1.26075816328327,10.0030912827323,8.74233311944904,6.24740978860615,55.000283333707,3.94347436409823,-110.000566667414,18.0199783104964,1.0577905706122,36.0399566209928,"htebayesian.tau100","bayesian","MD",10
"481",481,"CD008823",-6.9566289297655,1.62377472416583,-10.1777888498271,-3.71747977468726,6.46030907513983,5.91152162982395,-106.60574976293,3.92162714848401,213.211499525859,21.3571187782696,0.6264423638715,42.7142375565392,"htebayesian.tau100","bayesian","MD",15
